v1,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v22,v23,v24
434,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,452000,0.5,387000,-0.5,-0.5,448885,475818,421952,94700763,6,2248
435,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,450000,0.5,349000,-0.5,-0.5,413223,438016,384297,94701037,6,2255
436,2,1,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,470000,0.5,358000,-0.5,1,462771,499793,435005,94700935,6,158
437,2,1.5,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,453000,0.5,387000,-0.5,1,451568,478662,419958,94702477,6,2051
438,2,2,-0.5,-1.5,1.5,-0.5,1,0.5,1.5,350000,0.5,357000,-0.5,1,468506,496616,435711,94641674,6,713
439,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,682000,0.5,395000,-0.5,-0.5,461707,494026,434005,79581754,7,2627
440,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,275000,-0.5,280500,-0.5,-0.5,406960,427308,382542,94699362,7,953
441,2,2,-0.5,-1.5,1.5,-0.5,1,1,1.5,504100,1,393000,-0.5,1,496353,531098,461608,94701201,7,2050
442,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,270000,0.5,282350,-0.5,-0.5,393936,417572,354542,72652982,8,1772
443,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,144268,-0.5,1,650222,695738,598204,25047276,44,0
444,2,0.5,-0.5,-2,2,0,1.5,-2,2,300000,-2,335000,0.5,1,317551,358833,276269,25047924,44,69
445,2,0.5,-0.5,-2,2,0,1.5,0.5,2,610000,0.5,639420,-0.5,1,653283,699013,601020,25052643,34,1532
446,2,0,-0.5,-2,2,0,1.5,-2,2,105000,-2,143220,0.5,1,294893,330280,262455,25047904,44,7091
447,2,0.5,-0.5,-2,2,0,1.5,0.5,2,410000,0.5,418200,-0.5,1,615201,670569,572137,25047390,46,925
448,2,0,-0.5,-2,2,0,1.5,-2,2,0,-2,97305,0.5,1,301898,335107,265670,25047948,44,0
449,2,-0.5,-0.5,-2,2,0,1.5,-1.5,2,0,-1.5,115465,0.5,1,296786,326465,261172,25047968,44,0
450,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,67098,-0.5,1,684929,732874,623285,25047319,46,0
451,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,122532,-0.5,1,611994,673193,538555,25047958,43,0
452,2,0.5,-0.5,-2,2,0,1.5,0.5,2,440000,0.5,549167,-0.5,1,655683,695024,603228,25052630,34,5046
453,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,84685,-0.5,1,661643,714574,608712,25047308,46,0
454,2,0.5,-0.5,-2,2,0,1.5,0.5,2,0,0.5,63315,-0.5,1,625720,682035,581920,25047312,46,0
455,2,0.5,-0.5,-2,2,0,1.5,0.5,2,365000,0.5,365000,-0.5,1,637831,688857,593183,25047385,46,582
