v1,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v22,v23,v24,v25
14295,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,430000,-2,228927,-0.5,1,413847,459370,380739,19832373,20,166,0
14296,2,-0.5,-0.5,-2,0.5,-0.5,1,0.5,2,518000,0.5,362000,-0.5,1,481783,529961,452876,19586013,75,166,1
14297,2,2,-0.5,-2,0.5,-0.5,1,-0.5,2,850000,-0.5,374426,-0.5,1,951003,1074633,865413,19682864,33,166,1
14298,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,462000,0.5,279750,-0.5,1,405917,446509,377503,19726768,55,166,1
14299,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,625000,0.5,145392,-0.5,1,802742,842879,746550,19690110,54,166,1
14300,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,460100,-2,333000,-0.5,1,468534,501331,435737,19704557,17,166,1
14301,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,590000,0.5,195826,-0.5,1,608782,657485,553992,19587169,56,166,1
14302,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,570000,0.5,74088,-0.5,1,571145,616837,536876,19789125,46,166,0
14303,2,0.5,-0.5,-2,0.5,-0.5,1,1,2,675000,1,104994,-0.5,1,685734,733735,637733,112090522,59,166,1
14304,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,570000,-2,314117,0.5,1,540211,578026,507798,19799439,29,166,1
14305,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,633000,0.5,68749,-0.5,1,608195,650769,577785,19820512,47,166,1
14306,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,769000,0.5,669000,-0.5,1,750013,795014,697512,19842199,18,166,1
14307,2,-0.5,-1.5,-2,0.5,-0.5,1,-2,2,234000,-2,157000,0.5,1,237068,253663,222844,19684741,27,166,1
14308,2,1.5,-0.5,-2,0.5,-0.5,1,-1.5,2,660000,-1.5,520000,0.5,1,674780,728762,627545,19766022,37,166,1
14309,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,655000,0.5,65993,-0.5,1,622181,727952,559963,19695877,55,166,1
14310,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,855000,0.5,551666,-0.5,1,813013,869924,756102,19691917,53,166,1
14311,2,1.5,-0.5,-2,0.5,-0.5,1,-0.5,2,801000,-0.5,636000,-0.5,1,770446,824377,731924,64456654,10,166,1
14312,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,575000,0.5,422000,-0.5,1,567842,601913,533771,19837914,44,166,1
14313,2,0.5,-0.5,-2,0.5,-0.5,1,1,2,920000,1,86264,-0.5,1,870309,931231,809387,19676483,66,166,1
14314,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,545000,0.5,393000,-0.5,1,520537,556975,484099,19485080,50,166,1
14315,2,1.5,-0.5,-2,0.5,-0.5,1,0.5,2,720000,0.5,578000,-0.5,1,693302,741833,644771,19772859,44,166,1
14316,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,600000,0.5,71141,-0.5,1,612272,649008,569413,19831258,46,166,1
14317,2,0.5,-0.5,-2,0.5,-0.5,1,1,2,950100,1,635112,-0.5,1,949981,1006980,873983,19767245,39,167,1
14318,2,1,-0.5,-2,0.5,-0.5,1,-1.5,2,765000,-1.5,395346,-0.5,1,721518,772024,656581,19682783,35,167,1
14319,2,0.5,-0.5,-2,0.5,-0.5,1,-0.5,2,565000,-0.5,352000,0.5,1,499065,538990,454149,19756028,37,167,1
14320,2,-0.5,-0.5,-2,0.5,-0.5,1,0.5,2,710000,0.5,617000,-0.5,1,726550,784674,646629,19686142,65,167,1
14321,2,1,-0.5,-2,0.5,-0.5,1,-2,2,555000,-2,367000,0.5,1,571776,617518,543187,94696217,5,167,1
14322,2,0.5,-0.5,-2,0.5,-0.5,1,1,2,1175000,1,490030,-0.5,1,1151490,1232094,1059371,19764968,47,167,1
